PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
13;Weedle;;255/320;"37,00";PoisonStingFast;Struggle;58;1;14;8;1362;;No;http://poke.isitin.org/#MTMsMjUsMjUsMjU1LDU4
55;Golduck;;1049/1159;"36,00";WaterGunFast;HydroPump;96;2;2;15;131;;No;http://poke.isitin.org/#NTUsMjUsMTcsMTA0OSw5Ng==
13;Weedle;;68/87;"32,00";BugBiteFast;Struggle;29;1;14;5;1362;;No;http://poke.isitin.org/#MTMsMjUsNyw2OCwyOQ==
7;Squirtle;;562/662;"32,00";BubbleFast;WaterPulse;63;0;9;11;23;;No;http://poke.isitin.org/#NywyNSwyMyw1NjIsNjM=
14;Kakuna;;239/305;"31,00";PoisonStingFast;Struggle;65;4;0;14;1362;;No;http://poke.isitin.org/#MTQsMjUsMjIsMjM5LDY1
10;Caterpie;;242/316;"29,00";BugBiteFast;Struggle;66;0;11;10;226;;No;http://poke.isitin.org/#MTAsMjUsMjUsMjQyLDY2
73;Tentacruel;;1185/1332;"28,00";AcidFast;HydroPump;101;5;1;6;45;;No;http://poke.isitin.org/#NzMsMjUsMjEsMTE4NSwxMDE=
11;Metapod;;219/286;"27,00";BugBiteFast;Struggle;66;0;14;9;226;;No;http://poke.isitin.org/#MTEsMjUsMjEsMjE5LDY2
54;Psyduck;;613/729;"26,00";ZenHeadbuttFast;CrossChop;64;0;15;1;131;;No;http://poke.isitin.org/#NTQsMjUsMjMsNjEzLDY0
14;Kakuna;;136/180;"22,00";PoisonStingFast;Struggle;43;4;6;0;1362;;No;http://poke.isitin.org/#MTQsMjUsMTMsMTM2LDQz
95;Onix;;174/219;"18,00";TackleFast;RockSlide;28;3;5;2;7;;No;http://poke.isitin.org/#OTUsMjUsOSwxNzQsMjg=
